Response,Joint_cooperation_score,Food_sharing,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,3.258909912,-0.223848431,-0.311082799,F_M,4.700480366,Ind13,Ind30,Ind13_Ind30
9,1.581478575,-0.223848431,-0.311082799,F_F,5.446737372,Ind29,Ind30,Ind29_Ind30
8,3.055978217,-0.223848431,-0.311082799,F_F,5.225746674,Ind30,Ind11,Ind11_Ind30
4,1.605222614,-0.223848431,-0.311082799,F_F,5.153291594,Ind30,Ind5,Ind5_Ind30
1,1.357940264,-0.223848431,-0.311082799,M_M,4.634728988,Ind4,Ind19,Ind4_Ind19
0,1.098919072,-0.223848431,-0.311082799,F_M,4.369447852,Ind19,Ind1,Ind1_Ind19
0,0.533646137,-0.223848431,-0.311082799,F_M,4.700480366,Ind19,Ind18,Ind18_Ind19
1,1.545317297,5.481887229,-0.311082799,F_M,4.49980967,Ind10,Ind19,Ind10_Ind19
0,0.410547977,-0.223848431,-0.311082799,M_M,4.219507705,Ind9,Ind19,Ind9_Ind19
3,0.944505563,-0.223848431,-0.311082799,F_M,4.65396035,Ind19,Ind17,Ind17_Ind19
2,0.830987426,-0.223848431,-0.311082799,M_M,4.110873864,Ind19,Ind22,Ind19_Ind22
0,0.591795854,-0.223848431,-0.311082799,M_M,4.691347882,Ind16,Ind19,Ind16_Ind19
3,0.483943323,-0.223848431,-0.311082799,F_M,5.438079309,Ind19,Ind28,Ind19_Ind28
1,0.144367519,-0.223848431,-0.311082799,F_M,4.043051268,Ind15,Ind19,Ind15_Ind19
6,-0.079475413,-0.223848431,-0.311082799,F_M,5.780743516,Ind19,Ind6,Ind6_Ind19
6,0.703820331,-0.223848431,-0.311082799,F_M,4.983606622,Ind19,Ind20,Ind19_Ind20
3,0.170017261,-0.223848431,-0.311082799,F_M,5.407171771,Ind24,Ind19,Ind19_Ind24
6,0.069066468,-0.223848431,-0.311082799,F_M,5.236441963,Ind19,Ind8,Ind8_Ind19
0,-0.033120457,-0.223848431,-0.311082799,M_M,4.624972813,Ind31,Ind19,Ind19_Ind31
0,-0.061190958,-0.223848431,-0.311082799,M_M,4.828313737,Ind19,Ind25,Ind19_Ind25
0,3.002974637,-0.223848431,-0.311082799,M_M,4.820281566,Ind19,Ind13,Ind13_Ind19
7,1.3255433,-0.223848431,-0.311082799,F_M,5.521460918,Ind19,Ind29,Ind19_Ind29
15,2.800042942,2.068634647,-0.311082799,F_M,5.411646052,Ind11,Ind19,Ind11_Ind19
1,1.349287339,-0.223848431,-0.311082799,F_M,5.236441963,Ind19,Ind5,Ind5_Ind19
0,-0.137083458,-0.223848431,-0.311082799,M_M,4.025351691,Ind4,Ind12,Ind4_Ind12
0,-0.39610465,-0.223848431,-0.311082799,F_M,3.761200116,Ind12,Ind1,Ind1_Ind12
0,-0.961377585,-0.223848431,-0.311082799,F_M,4.110873864,Ind18,Ind12,Ind12_Ind18
3,0.050293575,-0.223848431,-0.311082799,F_M,3.761200116,Ind12,Ind10,Ind10_Ind12
0,-1.084475745,-0.223848431,-0.311082799,M_M,3.433987204,Ind9,Ind12,Ind9_Ind12
0,-0.550518159,-0.223848431,-0.311082799,F_M,4.143134726,Ind12,Ind17,Ind12_Ind17
0,-0.664036295,-0.223848431,-0.311082799,M_M,3.688879454,Ind12,Ind22,Ind12_Ind22
0,-0.903227868,-0.223848431,-0.311082799,M_M,4.077537444,Ind12,Ind16,Ind12_Ind16
0,-1.011080399,-0.223848431,-0.311082799,F_M,5.062595033,Ind28,Ind12,Ind12_Ind28
0,-1.350656203,-0.223848431,-0.311082799,F_M,3.761200116,Ind15,Ind12,Ind12_Ind15
0,-1.574499135,-0.223848431,-0.311082799,F_M,5.342334252,Ind12,Ind6,Ind6_Ind12
0,-0.791203391,-0.223848431,-0.311082799,F_M,4.574710979,Ind12,Ind20,Ind12_Ind20
0,-1.325006461,-0.223848431,-0.311082799,F_M,4.96284463,Ind12,Ind24,Ind12_Ind24
2,-1.425957254,-0.223848431,-0.311082799,F_M,4.727387819,Ind8,Ind12,Ind8_Ind12
1,-1.528144179,-0.223848431,-0.311082799,M_M,4.276666119,Ind31,Ind12,Ind12_Ind31
0,-1.55621468,-0.223848431,-0.311082799,M_M,4.430816799,Ind25,Ind12,Ind12_Ind25
0,1.507950915,-0.223848431,-0.311082799,M_M,4.477336814,Ind12,Ind13,Ind12_Ind13
0,-0.169480422,-0.223848431,-0.311082799,F_M,5.135798437,Ind12,Ind29,Ind12_Ind29
0,1.30501922,-0.223848431,-0.311082799,F_M,4.976733742,Ind12,Ind11,Ind11_Ind12
0,-0.145736383,-0.223848431,-0.311082799,F_M,4.812184355,Ind12,Ind5,Ind5_Ind12
0,-0.126761226,-0.223848431,-0.311082799,F_M,3.663561646,Ind4,Ind26,Ind4_Ind26
0,-0.385782418,-0.223848431,-0.311082799,F_F,2.944438979,Ind1,Ind26,Ind1_Ind26
1,-0.951055353,-0.223848431,-0.311082799,F_F,3.713572067,Ind26,Ind18,Ind18_Ind26
0,0.060615807,-0.223848431,-0.311082799,F_F,3.33220451,Ind10,Ind26,Ind10_Ind26
0,-1.074153513,-0.223848431,-0.311082799,F_M,3.36729583,Ind26,Ind9,Ind9_Ind26
0,-0.540195927,-0.223848431,-0.311082799,F_F,3.713572067,Ind17,Ind26,Ind17_Ind26
2,-0.653714063,-0.223848431,-0.311082799,F_M,3.465735903,Ind26,Ind22,Ind22_Ind26
1,-0.892905636,-0.223848431,-0.311082799,F_M,3.871201011,Ind16,Ind26,Ind16_Ind26
0,-1.000758166,-0.223848431,-0.311082799,F_F,4.48863637,Ind28,Ind26,Ind26_Ind28
0,-1.340333971,-0.223848431,-0.311082799,F_F,3.17805383,Ind15,Ind26,Ind15_Ind26
0,-1.564176903,-0.223848431,-0.311082799,F_F,5.147494477,Ind26,Ind6,Ind6_Ind26
0,-0.780881159,-0.223848431,-0.311082799,F_F,4.343805422,Ind20,Ind26,Ind20_Ind26
0,-1.314684229,-0.223848431,-0.311082799,F_F,4.584967479,Ind26,Ind24,Ind24_Ind26
1,-1.415635022,-0.223848431,-0.311082799,F_F,4.48863637,Ind26,Ind8,Ind8_Ind26
0,-1.517821947,-0.223848431,-0.311082799,F_M,3.891820298,Ind31,Ind26,Ind26_Ind31
0,-1.545892448,-0.223848431,-0.311082799,F_M,3.951243719,Ind26,Ind25,Ind25_Ind26
2,1.518273148,-0.223848431,-0.311082799,F_M,4.219507705,Ind26,Ind13,Ind13_Ind26
1,-0.15915819,-0.223848431,-0.311082799,F_F,4.691347882,Ind29,Ind26,Ind26_Ind29
2,1.315341452,-0.223848431,-0.311082799,F_F,4.605170186,Ind26,Ind11,Ind11_Ind26
0,-0.135414151,-0.223848431,-0.311082799,F_F,4.317488114,Ind5,Ind26,Ind5_Ind26
0,0.45296617,-0.223848431,-0.311082799,F_M,4.17438727,Ind7,Ind4,Ind4_Ind7
0,0.193944978,-0.223848431,-0.311082799,F_F,3.828641396,Ind7,Ind1,Ind1_Ind7
0,-0.371327956,-0.223848431,-0.311082799,F_F,4.248495242,Ind18,Ind7,Ind7_Ind18
0,0.640343203,-0.223848431,-0.311082799,F_F,3.850147602,Ind7,Ind10,Ind7_Ind10
0,-0.494426117,-0.223848431,-0.311082799,F_M,3.610917913,Ind7,Ind9,Ind7_Ind9
0,0.039531469,-0.223848431,-0.311082799,F_F,4.158883083,Ind17,Ind7,Ind7_Ind17
0,-0.073986667,10.47440593,-0.311082799,F_M,3.871201011,Ind7,Ind22,Ind7_Ind22
0,-0.31317824,-0.223848431,-0.311082799,F_M,4.234106505,Ind7,Ind16,Ind7_Ind16
4,-0.42103077,-0.223848431,-0.311082799,F_F,5.288267031,Ind28,Ind7,Ind7_Ind28
1,-0.760606575,-0.223848431,-0.311082799,F_F,4.043051268,Ind15,Ind7,Ind7_Ind15
1,-0.984449506,-0.223848431,-0.311082799,F_F,5.686975356,Ind6,Ind7,Ind6_Ind7
2,-0.201153763,-0.223848431,-0.311082799,F_F,4.844187086,Ind20,Ind7,Ind7_Ind20
2,-0.734956833,-0.223848431,-0.311082799,F_F,5.247024072,Ind7,Ind24,Ind7_Ind24
1,-0.835907625,-0.223848431,-0.311082799,F_F,4.9698133,Ind7,Ind8,Ind7_Ind8
0,-0.93809455,-0.223848431,-0.311082799,F_M,4.49980967,Ind7,Ind31,Ind7_Ind31
1,-0.966165051,-0.223848431,-0.311082799,F_M,4.86753445,Ind7,Ind25,Ind7_Ind25
0,2.098000544,3.418110501,-0.311082799,F_M,4.94875989,Ind13,Ind7,Ind7_Ind13
2,0.420569207,-0.223848431,-0.311082799,F_F,5.463831805,Ind7,Ind29,Ind7_Ind29
0,1.895068848,-0.223848431,-0.311082799,F_F,5.252273428,Ind11,Ind7,Ind7_Ind11
2,0.444313245,-0.223848431,-0.311082799,F_F,5.303304908,Ind5,Ind7,Ind5_Ind7
2,0.089585047,-0.223848431,-0.311082799,F_M,3.912023005,Ind4,Ind21,Ind4_Ind21
0,-0.169436145,-0.223848431,-0.311082799,F_F,2.995732274,Ind21,Ind1,Ind1_Ind21
0,-0.73470908,-0.223848431,-0.311082799,F_F,3.33220451,Ind21,Ind18,Ind18_Ind21
0,0.27696208,-0.223848431,-0.311082799,F_F,3.091042453,Ind21,Ind10,Ind10_Ind21
1,-0.85780724,-0.223848431,-0.311082799,F_M,3.044522438,Ind9,Ind21,Ind9_Ind21
0,-0.323849654,-0.223848431,-0.311082799,F_F,3.433987204,Ind21,Ind17,Ind17_Ind21
0,-0.437367791,-0.223848431,-0.311082799,F_M,3.091042453,Ind21,Ind22,Ind21_Ind22
2,-0.676559363,-0.223848431,-0.311082799,F_M,3.931825633,Ind21,Ind16,Ind16_Ind21
1,-0.784411894,-0.223848431,-0.311082799,F_F,4.927253685,Ind21,Ind28,Ind21_Ind28
0,-1.123987698,-0.223848431,-0.311082799,F_F,1.098612289,Ind15,Ind21,Ind15_Ind21
0,-1.34783063,-0.223848431,-0.311082799,F_F,5.049856007,Ind21,Ind6,Ind6_Ind21
1,-0.564534886,-0.223848431,-0.311082799,F_F,4.430816799,Ind20,Ind21,Ind20_Ind21
0,-1.098337956,-0.223848431,-0.311082799,F_F,4.65396035,Ind24,Ind21,Ind21_Ind24
2,-1.199288749,4.320542803,-0.311082799,F_F,4.727387819,Ind8,Ind21,Ind8_Ind21
