Response,Joint_cooperation_score,Grooming_score,Food_sharing,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,0.458677674,-0.51459561,-0.223848431,F_M,4.077537444,Ind22,Ind14,Ind14_Ind22
0,0.571033876,-0.51459561,-0.223848431,F_M,4.795790546,Ind14,Ind16,Ind14_Ind16
0,0.945554551,0.57943221,-0.223848431,F_F,5.351858133,Ind14,Ind28,Ind14_Ind28
0,0.346321471,0.57943221,-0.223848431,F_F,4.094344562,Ind14,Ind15,Ind14_Ind15
0,1.99421244,2.220473941,1.540812082,F_F,5.673323267,Ind14,Ind6,Ind6_Ind14
0,1.582239698,-0.51459561,-0.223848431,F_F,4.905274778,Ind20,Ind14,Ind14_Ind20
0,1.320075226,-0.51459561,-0.223848431,F_F,5.398162702,Ind14,Ind24,Ind14_Ind24
2,1.657143833,1.673460031,-0.223848431,F_F,5.204006687,Ind14,Ind8,Ind8_Ind14
0,0.271417336,-0.51459561,-0.223848431,F_M,4.615120517,Ind14,Ind31,Ind14_Ind31
0,0.233965269,-0.51459561,-0.223848431,F_M,4.691347882,Ind25,Ind14,Ind14_Ind25
0,1.020458686,-0.51459561,-0.223848431,F_M,4.919980926,Ind13,Ind14,Ind13_Ind14
1,2.406185183,2.767487851,1.980083798,F_F,5.451038454,Ind29,Ind14,Ind14_Ind29
0,1.769500036,2.767487851,2.164599054,F_F,5.370638028,Ind14,Ind11,Ind11_Ind14
0,1.282623158,1.12644612,-0.223848431,F_F,5.170483995,Ind14,Ind5,Ind5_Ind14
0,1.268964169,2.220473941,-0.223848431,M_M,4.110873864,Ind4,Ind27,Ind4_Ind27
0,1.830745181,0.0324183,-0.223848431,F_M,3.828641396,Ind1,Ind27,Ind1_Ind27
0,0.894443494,-0.51459561,-0.223848431,F_M,4.189654742,Ind18,Ind27,Ind18_Ind27
0,1.044251764,-0.51459561,-0.223848431,F_M,3.80666249,Ind10,Ind27,Ind10_Ind27
0,0.594826954,-0.51459561,-0.223848431,M_M,3.496507561,Ind9,Ind27,Ind9_Ind27
0,2.579786531,-0.51459561,-0.223848431,F_M,4.110873864,Ind27,Ind17,Ind17_Ind27
0,0.744635224,-0.51459561,-0.223848431,M_M,3.688879454,Ind22,Ind27,Ind22_Ind27
0,0.856991427,-0.51459561,-0.223848431,M_M,4.007333185,Ind27,Ind16,Ind16_Ind27
0,1.231512101,0.0324183,-0.223848431,F_M,5.023880521,Ind27,Ind28,Ind27_Ind28
0,0.632279022,-0.51459561,-0.223848431,F_M,3.951243719,Ind27,Ind15,Ind15_Ind27
0,2.280169991,1.12644612,-0.223848431,F_M,5.575949103,Ind27,Ind6,Ind6_Ind27
0,1.868197249,0.0324183,-0.223848431,F_M,4.406719247,Ind27,Ind20,Ind20_Ind27
0,1.606032776,-0.51459561,-0.223848431,F_M,5.068904202,Ind27,Ind24,Ind24_Ind27
0,1.943101384,-0.51459561,-0.223848431,F_M,4.859812404,Ind27,Ind8,Ind8_Ind27
0,0.557374887,-0.51459561,-0.223848431,M_M,4.248495242,Ind31,Ind27,Ind27_Ind31
0,0.519922819,-0.51459561,-0.223848431,M_M,4.59511985,Ind25,Ind27,Ind25_Ind27
0,1.306416236,-0.51459561,-0.223848431,M_M,4.48863637,Ind13,Ind27,Ind13_Ind27
0,2.692142733,-0.51459561,-0.223848431,F_M,5.170483995,Ind27,Ind29,Ind27_Ind29
0,2.055457586,-0.51459561,-0.223848431,F_M,5.017279837,Ind11,Ind27,Ind11_Ind27
0,1.568580709,-0.51459561,-0.223848431,F_M,4.96284463,Ind5,Ind27,Ind5_Ind27
0,-0.58975991,1.12644612,-0.223848431,F_M,4.406719247,Ind4,Ind30,Ind4_Ind30
