Response,Joint_cooperation_score,Grooming,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,-0.154469444,-0.51459561,-0.311082799,F_M,3.80666249,Ind10,Ind27,Ind10_Ind27
0,-1.159733033,-0.51459561,-0.311082799,M_M,3.496507561,Ind9,Ind27,Ind9_Ind27
0,-0.712949215,-0.51459561,-0.311082799,F_M,4.110873864,Ind27,Ind17,Ind17_Ind27
0,-0.712949215,-0.51459561,-0.311082799,M_M,3.688879454,Ind22,Ind27,Ind22_Ind27
0,-1.048037078,-0.51459561,-0.311082799,M_M,4.007333185,Ind27,Ind16,Ind16_Ind27
0,1.409273917,0.0324183,-0.311082799,F_M,5.023880521,Ind27,Ind28,Ind27_Ind28
0,-1.159733033,-0.51459561,-0.311082799,F_M,3.951243719,Ind27,Ind15,Ind15_Ind27
0,-0.042773489,1.12644612,-0.311082799,F_M,5.575949103,Ind27,Ind6,Ind6_Ind27
0,0.180618419,0.0324183,-0.311082799,F_M,4.406719247,Ind27,Ind20,Ind20_Ind27
0,-0.712949215,-0.51459561,-0.311082799,F_M,5.068904202,Ind27,Ind24,Ind24_Ind27
0,-0.266165398,-0.51459561,-0.311082799,F_M,4.859812404,Ind27,Ind8,Ind8_Ind27
0,-0.936341124,-0.51459561,-0.311082799,M_M,4.248495242,Ind31,Ind27,Ind27_Ind31
0,-1.159733033,-0.51459561,-0.311082799,M_M,4.59511985,Ind25,Ind27,Ind25_Ind27
0,-1.159733033,-0.51459561,-0.311082799,M_M,4.48863637,Ind13,Ind27,Ind13_Ind27
0,0.962490099,-0.51459561,-0.311082799,F_M,5.170483995,Ind27,Ind29,Ind27_Ind29
0,0.068922465,-0.51459561,-0.311082799,F_M,5.017279837,Ind11,Ind27,Ind11_Ind27
0,2.302841551,-0.51459561,-0.311082799,F_M,4.96284463,Ind5,Ind27,Ind5_Ind27
0,0.220621156,1.12644612,-0.311082799,F_M,4.406719247,Ind4,Ind30,Ind4_Ind30
0,0.667404974,-0.51459561,-0.311082799,F_F,4.025351691,Ind1,Ind30,Ind1_Ind30
0,0.555709019,0.0324183,-0.311082799,F_F,4.382026635,Ind18,Ind30,Ind18_Ind30
0,1.114188791,0.57943221,-0.311082799,F_F,4.094344562,Ind10,Ind30,Ind10_Ind30
0,0.108925202,-0.51459561,-0.311082799,F_M,3.737669618,Ind9,Ind30,Ind9_Ind30
1,0.555709019,0.0324183,-0.311082799,F_F,4.343805422,Ind17,Ind30,Ind17_Ind30
0,0.555709019,0.57943221,-0.311082799,F_M,3.891820298,Ind30,Ind22,Ind22_Ind30
0,0.220621156,-0.51459561,-0.311082799,F_M,4.317488114,Ind16,Ind30,Ind16_Ind30
0,2.677932152,0.57943221,3.229797631,F_F,5.283203729,Ind28,Ind30,Ind28_Ind30
0,0.108925202,-0.51459561,-0.311082799,F_F,3.970291914,Ind30,Ind15,Ind15_Ind30
0,1.225884745,2.220473941,-0.311082799,F_F,5.616771098,Ind6,Ind30,Ind6_Ind30
1,1.449276654,0.0324183,-0.311082799,F_F,4.820281566,Ind20,Ind30,Ind20_Ind30
1,0.555709019,0.0324183,-0.311082799,F_F,5.308267697,Ind30,Ind24,Ind24_Ind30
0,1.002492837,-0.51459561,-0.311082799,F_F,5.135798437,Ind30,Ind8,Ind8_Ind30
0,0.332317111,-0.51459561,-0.311082799,F_M,4.553876892,Ind30,Ind31,Ind30_Ind31
0,0.108925202,-0.51459561,-0.311082799,F_M,4.753590191,Ind30,Ind25,Ind25_Ind30
0,0.108925202,-0.51459561,-0.311082799,F_M,4.700480366,Ind13,Ind30,Ind13_Ind30
0,2.231148334,4.408529582,-0.311082799,F_F,5.446737372,Ind29,Ind30,Ind29_Ind30
0,1.3375807,3.861515672,-0.311082799,F_F,5.225746674,Ind30,Ind11,Ind11_Ind30
0,3.571499786,1.673460031,-0.311082799,F_F,5.153291594,Ind30,Ind5,Ind5_Ind30
0,-0.625151,0.0324183,-0.311082799,M_M,4.634728988,Ind4,Ind19,Ind4_Ind19
0,-0.178367183,-0.51459561,-0.311082799,F_M,4.369447852,Ind19,Ind1,Ind1_Ind19
0,-0.290063137,-0.51459561,-0.311082799,F_M,4.700480366,Ind19,Ind18,Ind18_Ind19
1,0.268416634,0.0324183,-0.311082799,F_M,4.49980967,Ind10,Ind19,Ind10_Ind19
